author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Алькор,developer,https://spb.cian.ru/sale/flat/314345245/,Санкт-Петербург,sale,flat,3,4,1,36.25,-1,0,8798658,Кронштадтский,дорога Цитадельская,,,Кронфорт.Центральный
SPB Housing,real_estate_agent,https://spb.cian.ru/sale/flat/307659959/,Санкт-Петербург,sale,flat,2,10,2,46.7,-1,0,15056080,Приморский,Фермское шоссе,12Б,Удельная,
ПИК,developer,https://spb.cian.ru/sale/flat/311120787/,Санкт-Петербург,sale,flat,2,9,1,34.3,-1,0,15640800,Адмиралтейский,набережная Обводного Канала,169,Балтийская,Лермонтовский 54
Вам к нам,real_estate_agent,https://spb.cian.ru/sale/flat/309853521/,Санкт-Петербург,sale,flat,3,21,2,66.8,-1,0,15800000,Выборгский,Железнодорожный переулок,12,Пионерская,Золотая середина
Алькор,developer,https://spb.cian.ru/sale/flat/315650021/,Санкт-Петербург,sale,flat,3,4,2,52.36,-1,0,14404236,Кронштадтский,дорога Цитадельская,,,Кронфорт.Центральный
ID 105529124,homeowner,https://spb.cian.ru/sale/flat/316824356/,Санкт-Петербург,sale,flat,15,17,1,51.0,-1,0,13900000,Фрунзенский,Малая Каштановая аллея,9к1,Дунайская,
ПИК,developer,https://spb.cian.ru/sale/flat/311120847/,Санкт-Петербург,sale,flat,2,9,2,53.6,-1,0,19901680,Адмиралтейский,набережная Обводного Канала,169,Балтийская,Лермонтовский 54
SPB Housing,real_estate_agent,https://spb.cian.ru/sale/flat/303782920/,Санкт-Петербург,sale,flat,10,11,2,58.1,-1,0,22731120,Адмиралтейский,Московский проспект,73к4,Фрунзенская,Новомосковский
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/317553592/,Санкт-Петербург,sale,flat,4,9,1,46.83,-1,0,21713100,Приморский,набережная Черной речки,35,Черная речка,"Черная речка, 41"
Надо Брать,real_estate_agent,https://spb.cian.ru/sale/flat/317390178/,Санкт-Петербург,sale,flat,8,9,2,44.3,-1,0,5200000,Красносельский, Спирина,2к1,Проспект Ветеранов,
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/305409270/,Санкт-Петербург,sale,flat,7,9,2,58.76,-1,0,29824740,Приморский,набережная Черной речки,35,Черная речка,"Черная речка, 41"
